amount, greedy time, dp time
5 , 0.002125 , 17.3555
10 , 0.003371 , 31.5552
15 , 0.004746 , 44.3823
20 , 0.00573 , 56.0113
25 , 0.007645 , 68.4563
30 , 0.008162 , 81.4617
35 , 0.009213 , 93.587
40 , 0.011733 , 105.1997
45 , 0.011521 , 113.0595
50 , 0.013189 , 124.8159
55 , 0.013972 , 137.1366
60 , 0.015398 , 148.1501
65 , 0.016747 , 160.6969
70 , 0.017662 , 171.8906
75 , 0.019478 , 183.0565
80 , 0.020109 , 194.7379
85 , 0.022343 , 207.1717
90 , 0.022623 , 221.4406
95 , 0.024308 , 240.8097
100 , 0.025404 , 254.6596
105 , 0.027513 , 262.4102
110 , 0.027187 , 272.9284
115 , 0.028556 , 280.623
120 , 0.030817 , 297.3106
125 , 0.034971 , 305.5011
130 , 0.033297 , 312.2042
135 , 0.033903 , 324.2806
140 , 0.034365 , 334.1839
145 , 0.036891 , 345.2021
150 , 0.037856 , 355.1331
155 , 0.038717 , 367.0361
160 , 0.039239 , 378.2038
165 , 0.040875 , 389.6809
170 , 0.041195 , 400.499
175 , 0.042885 , 412.6342
180 , 0.044148 , 449.4021
185 , 0.045284 , 461.3423
190 , 0.047214 , 471.194
195 , 0.047025 , 482.5027
